TS1,TS2,TS3,TS4,TS5
0.0070752,-0.0105187,-0.0008063,0.0015824,-0.0355757
-0.0018639,-0.0020346,-0.0029104,0.0113059,0.0099411
0.0201019,0.0214305,-0.0063105,0.0057030,0.0061633
0.0040627,-0.0072338,0.0047655,-0.0160003,0.0001536
0.0146779,-0.0000913,-0.0007216,0.0081030,-0.0136078
-0.0093953,-0.0222537,0.0037404,0.0122233,-0.0263443
0.0184407,0.0358084,-0.0090153,0.0019503,0.0149138
0.0020847,-0.0054193,0.0032578,-0.0179601,-0.0033126
-0.0036409,-0.0542419,0.0112621,-0.0011387,-0.0117611
-0.0005134,0.0464616,-0.0214279,-0.0061111,-0.0043259
0.0083612,-0.0490897,0.0111382,0.0014160,-0.0222430
0.0095518,0.0599566,-0.0186706,-0.0044857,-0.0075808
-0.0131945,0.0128995,0.0105279,-0.0127779,-0.0069721
-0.0061892,0.0682532,0.0015597,-0.0103330,-0.0709223
0.0006665,-0.0588211,0.0308359,0.0051758,-0.0053792
-0.0056492,-0.0313524,0.0097008,0.0210128,0.0301068
-0.0154790,0.0773101,-0.0165509,-0.0036847,0.0062609
0.0122602,-0.0349466,0.0211510,-0.0091505,-0.0231508
-0.0128116,-0.0104154,0.0019064,-0.0000161,0.0165409
0.0070948,-0.0257636,0.0035426,0.0096939,0.0178159
-0.0083208,0.0569464,-0.0136879,-0.0052847,-0.0103396
0.0042584,-0.0048173,0.0086974,-0.0008835,0.0044936
0.0091213,-0.0245979,0.0121759,0.0048576,0.0049884
0.0009117,0.0818575,-0.0117742,-0.0091254,-0.0103485
0.0144825,-0.0211540,0.0233023,0.0054724,-0.0024301
0.0017564,-0.0339944,0.0117045,0.0213358,0.0338320
0.0145659,-0.0260485,0.0020417,-0.0020998,0.0283249
0.0048003,0.0574157,-0.0146688,0.0078341,0.0153961
-0.0139403,0.0160300,0.0073726,-0.0072753,0.0051332
0.0116221,-0.0193886,0.0133328,0.0024912,0.0082856
-0.0013360,-0.0203400,0.0041096,-0.0067729,-0.0062077
0.0120852,-0.0217666,-0.0009423,0.0014687,-0.0097875
-0.0030101,0.0229590,-0.0102361,0.0040790,0.0284530
-0.0131229,0.0358146,-0.0031791,-0.0109992,0.0172458
0.0052803,-0.0081204,0.0088449,-0.0130435,0.0096575
-0.0031796,-0.0479869,0.0117666,-0.0049143,0.0045662
-0.0004923,0.0250634,-0.0139638,-0.0013842,-0.0292779
-0.0146516,-0.0181924,0.0034741,0.0019180,-0.0165554
0.0132173,0.0326858,-0.0098124,0.0183850,0.0178056
-0.0016915,-0.0149703,0.0083805,-0.0085136,-0.0235454
-0.0081780,0.0204256,-0.0036999,-0.0071021,-0.0133604
0.0066592,-0.0391559,0.0091905,0.0164885,-0.0092797
-0.0138991,0.0050634,-0.0053551,0.0063009,0.0066835
0.0084660,0.0542250,-0.0100647,-0.0003784,0.0072845
0.0067908,-0.0231825,0.0144826,-0.0041081,0.0144118
-0.0111212,-0.0112207,0.0051303,0.0120784,0.0033331
0.0128394,0.0430165,-0.0044778,-0.0014793,0.0007920
-0.0008965,0.0115823,0.0079955,-0.0045062,0.0181994
0.0009052,-0.0671428,0.0180698,0.0059856,0.0066631
0.0090419,-0.0143420,-0.0085663,0.0013444,-0.0097774
0.0025090,0.0145172,-0.0138705,-0.0007110,0.0024922
0.0041678,0.0005800,-0.0037337,-0.0028100,0.0034167
-0.0023391,0.0374826,-0.0057563,-0.0033683,-0.0082510
0.0133955,0.0194453,0.0046251,-0.0043587,0.0102645
-0.0002459,-0.0359024,0.0167198,0.0046183,-0.0215836
-0.0026917,0.0268322,-0.0047440,-0.0039944,-0.0085742
0.0076059,-0.0127874,0.0070252,0.0011598,-0.0073624
0.0097063,-0.0154543,0.0032937,0.0136035,-0.0038629
0.0056881,0.0185892,-0.0053243,0.0076327,0.0077109
-0.0012414,0.0134511,0.0017817,0.0015812,-0.0236410
0.0002194,0.0129921,0.0043772,0.0037080,0.0001638
-0.0107510,0.0017578,0.0082600,-0.0036772,0.0226767
0.0148716,0.0005968,0.0052264,0.0010014,-0.0062656
-0.0021179,-0.0319344,0.0078250,-0.0044988,-0.0035518
0.0044263,-0.0026291,-0.0046003,0.0023715,-0.0012947
0.0015568,0.0170281,-0.0070838,-0.0007487,0.0003238
-0.0028316,0.0033448,0.0023380,0.0051524,-0.0125439
-0.0037852,0.0204773,-0.0018155,0.0019186,-0.0009841
0.0025402,-0.0186878,0.0116519,-0.0000077,0.0078457
-0.0031851,0.0456484,-0.0064575,-0.0003451,0.0140654
0.0061368,-0.0521164,0.0175309,0.0054994,-0.0024110
-0.0073171,-0.0253672,-0.0023286,0.0017071,0.0194428
-0.0067424,0.0091103,-0.0123973,-0.0099407,-0.0079227
-0.0066938,0.0083153,-0.0052298,-0.0048106,-0.0259462
0.0018116,0.0371657,-0.0052246,0.0037795,-0.0100091
0.0028173,0.0056638,0.0083049,0.0004772,-0.0359280
-0.0130259,-0.0198808,0.0101067,0.0103880,-0.0032531
